LLA:time = ,435315.99900, pos = ,116.33892,39.97955,50.09596
xyz:time = ,435316.99900, pos = ,-2171461.23745,4386114.86125,4076277.87587
LLA:time = ,435316.99900, pos = ,116.33892,39.97955,50.17754
xyz:time = ,435317.99900, pos = ,-2171460.32994,4386114.91928,4076277.50630
LLA:time = ,435317.99900, pos = ,116.33891,39.97955,49.67140
xyz:time = ,435318.99900, pos = ,-2171463.30056,4386116.61819,4076279.43272
LLA:time = ,435318.99900, pos = ,116.33893,39.97954,53.08578
xyz:time = ,435319.99900, pos = ,-2171460.43004,4386114.78631,4076277.67661
LLA:time = ,435319.99900, pos = ,116.33891,39.97955,49.72355
xyz:time = ,435320.99900, pos = ,-2171462.87591,4386116.07776,4076279.22019
LLA:time = ,435320.99900, pos = ,116.33893,39.97955,52.43373
xyz:time = ,435321.99900, pos = ,-2171461.05451,4386115.25397,4076278.17441
LLA:time = ,435321.99900, pos = ,116.33891,39.97955,50.57684
xyz:time = ,435322.99900, pos = ,-2171463.16557,4386116.77837,4076279.65343
LLA:time = ,435322.99900, pos = ,116.33893,39.97954,53.29169
xyz:time = ,435323.99900, pos = ,-2171462.93155,4386116.65507,4076279.31942
LLA:time = ,435323.99900, pos = ,116.33893,39.97954,52.91286
xyz:time = ,435324.99900, pos = ,-2171462.69419,4386116.89990,4076279.29665
LLA:time = ,435324.99900, pos = ,116.33892,39.97954,52.98566
xyz:time = ,435325.99900, pos = ,-2171463.21170,4386117.05750,4076279.59427
LLA:time = ,435325.99900, pos = ,116.33893,39.97954,53.46106
xyz:time = ,435326.99900, pos = ,-2171465.15065,4386118.26361,4076280.79996
LLA:time = ,435326.99900, pos = ,116.33894,39.97954,55.72320
xyz:time = ,435327.99900, pos = ,-2171464.90425,4386118.30649,4076280.67969
LLA:time = ,435327.99900, pos = ,116.33894,39.97954,55.59160
xyz:time = ,435328.99900, pos = ,-2171463.84261,4386117.74066,4076279.80687
LLA:time = ,435328.99900, pos = ,116.33893,39.97954,54.28130
xyz:time = ,435329.99900, pos = ,-2171463.83444,4386118.05776,4076279.70359
LLA:time = ,435329.99900, pos = ,116.33893,39.97954,54.42992
xyz:time = ,435330.99900, pos = ,-2171463.22185,4386117.88327,4076279.40052
LLA:time = ,435330.99900, pos = ,116.33892,39.97954,53.90709
xyz:time = ,435331.99900, pos = ,-2171463.62594,4386117.75481,4076279.74870
LLA:time = ,435331.99900, pos = ,116.33893,39.97954,54.17997
xyz:time = ,435332.99900, pos = ,-2171463.30146,4386117.89092,4076279.80986
LLA:time = ,435332.99900, pos = ,116.33892,39.97954,54.20243
xyz:time = ,435333.99900, pos = ,-2171463.33244,4386117.98790,4076279.94704
LLA:time = ,435333.99900, pos = ,116.33892,39.97954,54.36769
xyz:time = ,435334.99900, pos = ,-2171462.93222,4386118.07053,4076279.50607
LLA:time = ,435334.99900, pos = ,116.33892,39.97954,54.00504
