LLA:time = ,435764.99900, pos = ,116.33892,39.97954,51.02748
xyz:time = ,435765.99900, pos = ,-2171460.98784,4386115.34577,4076277.28499
LLA:time = ,435765.99900, pos = ,116.33891,39.97954,50.04576
xyz:time = ,435766.99900, pos = ,-2171460.72304,4386115.54178,4076277.68839
LLA:time = ,435766.99900, pos = ,116.33891,39.97954,50.34952
xyz:time = ,435767.99900, pos = ,-2171461.08523,4386115.53601,4076278.18228
LLA:time = ,435767.99900, pos = ,116.33891,39.97955,50.78603
xyz:time = ,435768.99900, pos = ,-2171460.72076,4386115.32249,4076278.53053
LLA:time = ,435768.99900, pos = ,116.33891,39.97955,50.73925
xyz:time = ,435769.99900, pos = ,-2171459.60502,4386114.34980,4076277.27646
LLA:time = ,435769.99900, pos = ,116.33890,39.97955,48.88619
xyz:time = ,435770.99900, pos = ,-2171460.21596,4386114.82659,4076278.43192
LLA:time = ,435770.99900, pos = ,116.33891,39.97955,50.16372
xyz:time = ,435771.99900, pos = ,-2171459.44547,4386114.14673,4076277.37394
LLA:time = ,435771.99900, pos = ,116.33890,39.97955,48.75513
xyz:time = ,435772.99900, pos = ,-2171460.25861,4386114.45576,4076278.28159
LLA:time = ,435772.99900, pos = ,116.33891,39.97955,49.82697
xyz:time = ,435774.99900, pos = ,-2171460.93027,4386114.08916,4076278.02530
LLA:time = ,435774.99900, pos = ,116.33892,39.97955,49.63890
xyz:time = ,435775.99900, pos = ,-2171460.86915,4386114.12885,4076277.60868
LLA:time = ,435775.99900, pos = ,116.33892,39.97955,49.37769
xyz:time = ,435776.99900, pos = ,-2171461.63385,4386114.13606,4076277.70233
LLA:time = ,435776.99900, pos = ,116.33893,39.97955,49.70281
xyz:time = ,435777.99900, pos = ,-2171462.35904,4386114.65766,4076278.44074
LLA:time = ,435777.99900, pos = ,116.33893,39.97955,50.78198
xyz:time = ,435778.99900, pos = ,-2171461.91647,4386114.24207,4076277.72853
LLA:time = ,435778.99900, pos = ,116.33893,39.97955,49.88852
xyz:time = ,435779.99900, pos = ,-2171461.34191,4386114.05409,4076277.65231
LLA:time = ,435779.99900, pos = ,116.33892,39.97955,49.51512
xyz:time = ,435780.99900, pos = ,-2171460.86432,4386113.89416,4076277.56527
LLA:time = ,435780.99900, pos = ,116.33892,39.97955,49.18699
xyz:time = ,435781.99900, pos = ,-2171460.32420,4386113.99817,4076277.52819
LLA:time = ,435781.99900, pos = ,116.33891,39.97955,49.05097
xyz:time = ,435782.99900, pos = ,-2171460.62803,4386114.50379,4076277.63129
LLA:time = ,435782.99900, pos = ,116.33891,39.97955,49.56773
xyz:time = ,435783.99900, pos = ,-2171460.19068,4386114.20136,4076277.53913
LLA:time = ,435783.99900, pos = ,116.33891,39.97955,49.15214
xyz:time = ,435784.99900, pos = ,-2171459.95863,4386114.26581,4076277.36047
LLA:time = ,435784.99900, pos = ,116.33891,39.97955,49.00272
xyz:time = ,435785.99900, pos = ,-2171457.86360,4386113.14689,4076275.72196
LLA:time = ,435785.99900, pos = ,116.33889,39.97955,46.46929
xyz:time = ,435786.99900, pos = ,-2171456.82214,4386112.45658,4076275.21647
LLA:time = ,435786.99900, pos = ,116.33888,39.97955,45.31637
xyz:time = ,435787.99900, pos = ,-2171458.13248,4386113.57887,4076276.94264
LLA:time = ,435787.99900, pos = ,116.33889,39.97956,47.64166
xyz:time = ,435788.99900, pos = ,-2171458.15341,4386113.51596,4076276.96781
LLA:time = ,435788.99900, pos = ,116.33889,39.97956,47.62174
xyz:time = ,435789.99900, pos = ,-2171459.30648,4386114.09624,4076278.09719
LLA:time = ,435789.99900, pos = ,116.33890,39.97956,49.13790
xyz:time = ,435790.99900, pos = ,-2171459.02321,4386113.54356,4076276.73769
LLA:time = ,435790.99900, pos = ,116.33890,39.97955,47.78855
xyz:time = ,435791.99900, pos = ,-2171459.10982,4386113.63270,4076277.49993
LLA:time = ,435791.99900, pos = ,116.33890,39.97956,48.36897
xyz:time = ,435792.99900, pos = ,-2171459.22808,4386113.68602,4076277.49979
LLA:time = ,435792.99900, pos = ,116.33890,39.97956,48.44569
xyz:time = ,435793.99900, pos = ,-2171457.26134,4386112.24374,4076275.12084
LLA:time = ,435793.99900, pos = ,116.33889,39.97955,45.25809
xyz:time = ,435794.99900, pos = ,-2171456.44548,4386112.04340,4076274.71031
LLA:time = ,435794.99900, pos = ,116.33888,39.97955,44.57937
xyz:time = ,435795.99900, pos = ,-2171455.70844,4386111.58444,4076273.89628
LLA:time = ,435795.99900, pos = ,116.33888,39.97955,43.49058
xyz:time = ,435796.99900, pos = ,-2171455.99613,4386111.82553,4076274.47090
LLA:time = ,435796.99900, pos = ,116.33888,39.97955,44.12316
xyz:time = ,435797.99900, pos = ,-2171454.71712,4386111.33475,4076273.33413
LLA:time = ,435797.99900, pos = ,116.33887,39.97955,42.62090
xyz:time = ,435798.99900, pos = ,-2171456.38875,4386112.44276,4076274.47689
LLA:time = ,435798.99900, pos = ,116.33888,39.97955,44.68435
xyz:time = ,435799.99900, pos = ,-2171456.78584,4386112.87829,4076274.71982
LLA:time = ,435799.99900, pos = ,116.33888,39.97955,45.27453
xyz:time = ,435800.99900, pos = ,-2171457.64786,4386113.41417,4076274.99585
LLA:time = ,435800.99900, pos = ,116.33889,39.97954,46.11295
xyz:time = ,435801.99900, pos = ,-2171457.67158,4386113.05057,4076273.94210
LLA:time = ,435801.99900, pos = ,116.33889,39.97954,45.19427
xyz:time = ,435802.99900, pos = ,-2171458.79751,4386113.88353,4076274.93106
LLA:time = ,435802.99900, pos = ,116.33890,39.97954,46.78451
xyz:time = ,435803.99900, pos = ,-2171460.20190,4386115.13170,4076276.61917
LLA:time = ,435803.99900, pos = ,116.33891,39.97954,49.20375
xyz:time = ,435804.99900, pos = ,-2171459.13751,4386114.50455,4076274.99502
LLA:time = ,435804.99900, pos = ,116.33890,39.97953,47.36765
xyz:time = ,435805.99900, pos = ,-2171458.83689,4386114.66832,4076275.65689
LLA:time = ,435805.99900, pos = ,116.33889,39.97954,47.80318
xyz:time = ,435806.99900, pos = ,-2171457.97889,4386114.28854,4076275.49181
LLA:time = ,435806.99900, pos = ,116.33889,39.97954,47.14461
xyz:time = ,435807.99900, pos = ,-2171458.62292,4386114.76051,4076276.57126
LLA:time = ,435807.99900, pos = ,116.33889,39.97955,48.38124
xyz:time = ,435808.99900, pos = ,-2171458.65253,4386114.85694,4076276.16637
LLA:time = ,435808.99900, pos = ,116.33889,39.97954,48.19738
xyz:time = ,435809.99900, pos = ,-2171457.68500,4386114.04861,4076275.26505
LLA:time = ,435809.99900, pos = ,116.33889,39.97954,46.73422
xyz:time = ,435810.99900, pos = ,-2171456.63731,4386113.49690,4076274.71005
LLA:time = ,435810.99900, pos = ,116.33888,39.97954,45.64257
xyz:time = ,435811.99900, pos = ,-2171456.50020,4386113.93493,4076275.98604
LLA:time = ,435811.99900, pos = ,116.33887,39.97955,46.71660
xyz:time = ,435812.99900, pos = ,-2171454.15891,4386112.58705,4076274.46786
LLA:time = ,435812.99900, pos = ,116.33886,39.97955,44.01954
xyz:time = ,435813.99900, pos = ,-2171452.81603,4386112.02611,4076274.17959
LLA:time = ,435813.99900, pos = ,116.33884,39.97956,42.99255
xyz:time = ,435814.99900, pos = ,-2171451.64102,4386111.44553,4076273.18048
LLA:time = ,435814.99900, pos = ,116.33884,39.97956,41.55244
xyz:time = ,435815.99900, pos = ,-2171449.72875,4386110.33424,4076271.26398
LLA:time = ,435815.99900, pos = ,116.33882,39.97955,38.90778
xyz:time = ,435816.99900, pos = ,-2171449.67056,4386110.26184,4076272.10482
LLA:time = ,435816.99900, pos = ,116.33882,39.97956,39.37852
xyz:time = ,435817.99900, pos = ,-2171449.01368,4386110.13698,4076272.14246
LLA:time = ,435817.99900, pos = ,116.33881,39.97956,39.09364
xyz:time = ,435818.99900, pos = ,-2171456.24751,4386112.66596,4076274.38799
LLA:time = ,435818.99900, pos = ,116.33888,39.97955,44.73249
xyz:time = ,435819.99900, pos = ,-2171455.12834,4386112.00828,4076273.20133
LLA:time = ,435819.99900, pos = ,116.33887,39.97955,43.13790
xyz:time = ,435820.99900, pos = ,-2171447.56007,4386108.95399,4076270.16786
LLA:time = ,435820.99900, pos = ,116.33881,39.97956,36.51835
xyz:time = ,435821.99900, pos = ,-2171455.63350,4386112.23702,4076273.64307
LLA:time = ,435821.99900, pos = ,116.33887,39.97955,43.75056
xyz:time = ,435822.99900, pos = ,-2171449.68824,4386109.78849,4076271.13754
LLA:time = ,435822.99900, pos = ,116.33882,39.97956,38.43799
xyz:time = ,435823.99900, pos = ,-2171450.00968,4386110.07289,4076271.42163
LLA:time = ,435823.99900, pos = ,116.33883,39.97956,38.92510
xyz:time = ,435824.99900, pos = ,-2171451.04408,4386110.56813,4076272.37014
LLA:time = ,435824.99900, pos = ,116.33883,39.97956,40.22631
xyz:time = ,435825.99900, pos = ,-2171452.61717,4386111.74494,4076274.39941
LLA:time = ,435825.99900, pos = ,116.33884,39.97956,42.87310
xyz:time = ,435826.99900, pos = ,-2171451.91496,4386111.51019,4076273.60787
LLA:time = ,435826.99900, pos = ,116.33884,39.97956,41.96458
xyz:time = ,435827.99900, pos = ,-2171452.65536,4386111.89434,4076273.62936
LLA:time = ,435827.99900, pos = ,116.33884,39.97956,42.49391
xyz:time = ,435828.99900, pos = ,-2171457.82793,4386113.54721,4076275.45665
LLA:time = ,435828.99900, pos = ,116.33889,39.97955,46.56160
xyz:time = ,435829.99900, pos = ,-2171453.82373,4386112.43893,4076274.31831
LLA:time = ,435829.99900, pos = ,116.33885,39.97955,43.70777
xyz:time = ,435830.99900, pos = ,-2171453.73723,4386111.86373,4076273.69180
LLA:time = ,435830.99900, pos = ,116.33886,39.97955,42.88082
xyz:time = ,435831.99900, pos = ,-2171454.67542,4386112.91767,4076274.77018
LLA:time = ,435831.99900, pos = ,116.33886,39.97955,44.61643
xyz:time = ,435832.99900, pos = ,-2171454.34465,4386112.79493,4076274.47612
LLA:time = ,435832.99900, pos = ,116.33886,39.97955,44.23075
xyz:time = ,435833.99900, pos = ,-2171453.88576,4386112.25397,4076274.08077
LLA:time = ,435833.99900, pos = ,116.33885,39.97955,43.44923
xyz:time = ,435834.99900, pos = ,-2171454.71623,4386113.06650,4076275.59675
LLA:time = ,435834.99900, pos = ,116.33886,39.97956,45.26359
xyz:time = ,435835.99900, pos = ,-2171453.58930,4386112.64331,4076274.34388
LLA:time = ,435835.99900, pos = ,116.33885,39.97955,43.78485
xyz:time = ,435836.99900, pos = ,-2171453.54046,4386112.49551,4076274.18507
LLA:time = ,435836.99900, pos = ,116.33885,39.97955,43.56471
xyz:time = ,435837.99900, pos = ,-2171452.86411,4386112.27449,4076273.73150
LLA:time = ,435837.99900, pos = ,116.33884,39.97955,42.89157
xyz:time = ,435838.99900, pos = ,-2171454.51122,4386113.35252,4076275.80739
LLA:time = ,435838.99900, pos = ,116.33886,39.97956,45.52564
xyz:time = ,435839.99900, pos = ,-2171454.66374,4386113.35106,4076275.04115
LLA:time = ,435839.99900, pos = ,116.33886,39.97955,45.08418
xyz:time = ,435840.99900, pos = ,-2171453.74440,4386112.65500,4076273.93198
LLA:time = ,435840.99900, pos = ,116.33885,39.97955,43.58097
xyz:time = ,435841.99900, pos = ,-2171455.28229,4386113.55564,4076275.67825
LLA:time = ,435841.99900, pos = ,116.33886,39.97955,45.84431
xyz:time = ,435842.99900, pos = ,-2171456.42655,4386113.93225,4076275.92966
LLA:time = ,435842.99900, pos = ,116.33887,39.97955,46.65349
xyz:time = ,435843.99900, pos = ,-2171456.13733,4386113.57683,4076274.98273
LLA:time = ,435843.99900, pos = ,116.33887,39.97955,45.70268
xyz:time = ,435844.99900, pos = ,-2171457.83044,4386114.38599,4076276.25907
LLA:time = ,435844.99900, pos = ,116.33888,39.97955,47.65403
xyz:time = ,435845.99900, pos = ,-2171458.51878,4386114.44571,4076275.08100
LLA:time = ,435845.99900, pos = ,116.33889,39.97954,47.17214
xyz:time = ,435846.99900, pos = ,-2171461.55464,4386115.72630,4076276.97103
LLA:time = ,435846.99900, pos = ,116.33892,39.97954,50.29805
xyz:time = ,435847.99900, pos = ,-2171463.64429,4386116.04284,4076277.00313
LLA:time = ,435847.99900, pos = ,116.33894,39.97953,51.24649
xyz:time = ,435848.99900, pos = ,-2171464.93267,4386116.81200,4076278.40226
LLA:time = ,435848.99900, pos = ,116.33895,39.97953,53.11168
xyz:time = ,435849.99900, pos = ,-2171465.31982,4386116.58872,4076277.46089
LLA:time = ,435849.99900, pos = ,116.33895,39.97952,52.48513
xyz:time = ,435850.99900, pos = ,-2171464.75048,4386116.10630,4076276.86858
LLA:time = ,435850.99900, pos = ,116.33895,39.97952,51.57971
xyz:time = ,435851.99900, pos = ,-2171464.28366,4386116.18365,4076276.77454
LLA:time = ,435851.99900, pos = ,116.33894,39.97952,51.41369
xyz:time = ,435852.99900, pos = ,-2171466.38790,4386117.57785,4076279.18743
LLA:time = ,435852.99900, pos = ,116.33896,39.97953,54.63684
xyz:time = ,435853.99900, pos = ,-2171465.02989,4386116.85412,4076277.91724
LLA:time = ,435853.99900, pos = ,116.33895,39.97953,52.86203
xyz:time = ,435854.99900, pos = ,-2171464.79288,4386116.61803,4076277.78988
LLA:time = ,435854.99900, pos = ,116.33895,39.97953,52.53749
xyz:time = ,435855.99900, pos = ,-2171464.01371,4386116.35812,4076277.11276
LLA:time = ,435855.99900, pos = ,116.33894,39.97953,51.65904
xyz:time = ,435856.99900, pos = ,-2171463.53881,4386116.17526,4076277.16740
LLA:time = ,435856.99900, pos = ,116.33894,39.97953,51.40711
xyz:time = ,435857.99900, pos = ,-2171462.44925,4386115.96635,4076277.00383
LLA:time = ,435857.99900, pos = ,116.33893,39.97953,50.78813
xyz:time = ,435858.99900, pos = ,-2171461.97870,4386115.93152,4076277.44899
LLA:time = ,435858.99900, pos = ,116.33892,39.97954,50.89025
xyz:time = ,435859.99900, pos = ,-2171460.99949,4386115.44320,4076276.70615
LLA:time = ,435859.99900, pos = ,116.33891,39.97954,49.74471
xyz:time = ,435860.99900, pos = ,-2171460.35313,4386114.91935,4076276.57237
LLA:time = ,435860.99900, pos = ,116.33891,39.97954,49.07927
xyz:time = ,435861.99900, pos = ,-2171460.28486,4386114.70567,4076277.09652
LLA:time = ,435861.99900, pos = ,116.33891,39.97954,49.24609
xyz:time = ,435862.99900, pos = ,-2171460.41316,4386114.69241,4076276.95923
LLA:time = ,435862.99900, pos = ,116.33891,39.97954,49.19240
xyz:time = ,435863.99900, pos = ,-2171460.01560,4386114.44859,4076276.31452
LLA:time = ,435863.99900, pos = ,116.33891,39.97954,48.47555
xyz:time = ,435864.99900, pos = ,-2171459.24328,4386113.98607,4076274.97549
LLA:time = ,435864.99900, pos = ,116.33890,39.97954,47.03502
xyz:time = ,435865.99900, pos = ,-2171458.12731,4386112.91037,4076273.37526
LLA:time = ,435865.99900, pos = ,116.33890,39.97953,44.88873
xyz:time = ,435866.99900, pos = ,-2171458.70305,4386112.96197,4076274.03615
LLA:time = ,435866.99900, pos = ,116.33890,39.97954,45.54454
xyz:time = ,435867.99900, pos = ,-2171458.98399,4386113.28120,4076274.22741
LLA:time = ,435867.99900, pos = ,116.33890,39.97954,45.98216
xyz:time = ,435868.99900, pos = ,-2171458.65376,4386113.05370,4076274.04825
LLA:time = ,435868.99900, pos = ,116.33890,39.97954,45.59855
xyz:time = ,435869.99900, pos = ,-2171458.10291,4386112.89476,4076273.64987
LLA:time = ,435869.99900, pos = ,116.33890,39.97954,45.04616
xyz:time = ,435870.99900, pos = ,-2171458.36885,4386113.35786,4076274.69396
LLA:time = ,435870.99900, pos = ,116.33890,39.97954,46.12544
xyz:time = ,435871.99900, pos = ,-2171459.20904,4386114.04246,4076275.68883
LLA:time = ,435871.99900, pos = ,116.33890,39.97954,47.52043
xyz:time = ,435872.99900, pos = ,-2171459.18622,4386114.13034,4076275.96859
LLA:time = ,435872.99900, pos = ,116.33890,39.97954,47.75277
xyz:time = ,435873.99900, pos = ,-2171460.27692,4386114.77000,4076277.06970
LLA:time = ,435873.99900, pos = ,116.33891,39.97954,49.27034
xyz:time = ,435874.99900, pos = ,-2171460.91036,4386114.87816,4076277.08299
LLA:time = ,435874.99900, pos = ,116.33891,39.97954,49.56851
xyz:time = ,435875.99900, pos = ,-2171461.59979,4386114.82473,4076276.83559
LLA:time = ,435875.99900, pos = ,116.33892,39.97954,49.60725
xyz:time = ,435876.99900, pos = ,-2171462.15498,4386114.93476,4076276.52223
LLA:time = ,435876.99900, pos = ,116.33893,39.97953,49.67023
xyz:time = ,435877.99900, pos = ,-2171461.47492,4386114.52018,4076275.12446
LLA:time = ,435877.99900, pos = ,116.33892,39.97953,48.25623
xyz:time = ,435878.99900, pos = ,-2171461.41653,4386114.38907,4076274.58135
LLA:time = ,435878.99900, pos = ,116.33892,39.97953,47.79739
xyz:time = ,435879.99900, pos = ,-2171462.44791,4386114.62592,4076274.69252
LLA:time = ,435879.99900, pos = ,116.33893,39.97952,48.38212
xyz:time = ,435880.99900, pos = ,-2171463.08571,4386115.59435,4076276.37619
LLA:time = ,435880.99900, pos = ,116.33893,39.97953,50.34578
xyz:time = ,435881.99900, pos = ,-2171463.16219,4386115.83685,4076276.43153
LLA:time = ,435881.99900, pos = ,116.33893,39.97953,50.57387
xyz:time = ,435882.99900, pos = ,-2171462.47570,4386115.97460,4076276.44444
LLA:time = ,435882.99900, pos = ,116.33893,39.97953,50.44337
xyz:time = ,435883.99900, pos = ,-2171461.79911,4386115.51841,4076275.70258
LLA:time = ,435883.99900, pos = ,116.33892,39.97953,49.42341
xyz:time = ,435884.99900, pos = ,-2171460.34589,4386115.18881,4076274.66026
LLA:time = ,435884.99900, pos = ,116.33891,39.97953,48.03330
xyz:time = ,435885.99900, pos = ,-2171458.24022,4386114.31908,4076273.18968
LLA:time = ,435885.99900, pos = ,116.33889,39.97953,45.77527
xyz:time = ,435886.99900, pos = ,-2171457.05388,4386113.41821,4076271.76854
LLA:time = ,435886.99900, pos = ,116.33888,39.97952,43.84020
xyz:time = ,435887.99900, pos = ,-2171456.46100,4386113.08624,4076271.23654
LLA:time = ,435887.99900, pos = ,116.33888,39.97952,43.06883
xyz:time = ,435888.99900, pos = ,-2171455.27219,4386112.69674,4076270.73539
LLA:time = ,435888.99900, pos = ,116.33887,39.97952,42.07519
xyz:time = ,435889.99900, pos = ,-2171454.28863,4386112.40209,4076270.27664
LLA:time = ,435889.99900, pos = ,116.33886,39.97953,41.24370
xyz:time = ,435890.99900, pos = ,-2171454.86731,4386112.48886,4076270.57667
LLA:time = ,435890.99900, pos = ,116.33886,39.97953,41.69280
xyz:time = ,435891.99900, pos = ,-2171456.24403,4386112.92350,4076271.46139
LLA:time = ,435891.99900, pos = ,116.33888,39.97953,43.02779
xyz:time = ,435892.99900, pos = ,-2171456.21237,4386112.72751,4076271.22291
LLA:time = ,435892.99900, pos = ,116.33888,39.97953,42.72920
xyz:time = ,435893.99900, pos = ,-2171456.46442,4386112.50959,4076271.22480
LLA:time = ,435893.99900, pos = ,116.33888,39.97953,42.66646
xyz:time = ,435894.99900, pos = ,-2171456.62500,4386112.37116,4076271.46014
LLA:time = ,435894.99900, pos = ,116.33888,39.97953,42.77719
xyz:time = ,435895.99900, pos = ,-2171457.97688,4386112.48892,4076271.67168
LLA:time = ,435895.99900, pos = ,116.33890,39.97952,43.45359
xyz:time = ,435896.99900, pos = ,-2171457.02470,4386111.48453,4076270.63007
LLA:time = ,435896.99900, pos = ,116.33889,39.97953,41.77088
xyz:time = ,435897.99900, pos = ,-2171457.56057,4386111.97272,4076271.07875
LLA:time = ,435897.99900, pos = ,116.33889,39.97952,42.57661
xyz:time = ,435898.99900, pos = ,-2171458.30164,4386112.43412,4076271.68944
LLA:time = ,435898.99900, pos = ,116.33890,39.97952,43.53779
xyz:time = ,435899.99900, pos = ,-2171458.52856,4386112.68542,4076272.06028
LLA:time = ,435899.99900, pos = ,116.33890,39.97953,44.02578
xyz:time = ,435900.99900, pos = ,-2171459.84330,4386113.23842,4076273.12104
LLA:time = ,435900.99900, pos = ,116.33891,39.97953,45.53408
xyz:time = ,435901.99900, pos = ,-2171459.94576,4386113.31743,4076273.54904
LLA:time = ,435901.99900, pos = ,116.33891,39.97953,45.89816
xyz:time = ,435902.99900, pos = ,-2171459.55742,4386113.19667,4076273.25656
LLA:time = ,435902.99900, pos = ,116.33891,39.97953,45.49528
xyz:time = ,435903.99900, pos = ,-2171458.85662,4386112.85065,4076272.89222
LLA:time = ,435903.99900, pos = ,116.33890,39.97953,44.78531
xyz:time = ,435904.99900, pos = ,-2171459.87276,4386113.40995,4076273.38905
LLA:time = ,435904.99900, pos = ,116.33891,39.97953,45.83409
xyz:time = ,435905.99900, pos = ,-2171460.59039,4386113.87954,4076273.99278
LLA:time = ,435905.99900, pos = ,116.33892,39.97953,46.78845
xyz:time = ,435906.99900, pos = ,-2171461.17496,4386114.13149,4076274.25484
LLA:time = ,435906.99900, pos = ,116.33892,39.97953,47.32859
xyz:time = ,435907.99900, pos = ,-2171461.12591,4386114.41492,4076274.50789
LLA:time = ,435907.99900, pos = ,116.33892,39.97953,47.66914
xyz:time = ,435908.99900, pos = ,-2171461.46580,4386113.96277,4076273.25129
LLA:time = ,435908.99900, pos = ,116.33893,39.97952,46.66681
xyz:time = ,435909.99900, pos = ,-2171461.65183,4386113.61186,4076272.57548
